alphabetisch,,alfabético; abecedario,alfabético,abecedario
offen,,aberto,abierto,aberto
langweilig,,aborrecido;tedioso,aburrido,aburrido
angenehm,,agradável,agradable,agradábel
hoch,,alto,alto,alto
gelb,,amarelo,amarillo,amarelo;marelo
breit,,ancho,ancho,ancho
alt,,antigo,antigou,antigo
unsympathisch,,antipático,antipático,antipático
arrogant,,arrogante,arrogante,arrogante
attraktiv,,atrativo,atractivo,atractivo
niedrig;klein,,baixo,bajo,baixo
billig,,barato,barato,barato
gut,,bom,bueno,bo
schön,,bonito,bonito;guapo,bonito;guapo
betrunken,,bêbado,borracho,borracho
weiß,,branco,blanca,branco
kahl; Glatze,,calvo,calvo,calvo
müde,,cansado,cansado,canso
fähig,,capaz,capaz,capaz
liebevoll,,carinhoso,cariñoso,cariñoso
teuer,,caro,caro,caro
früh,,cedo,temprano,cedo
gewöhnlich,,comum,común,común
höflich,,cortês,cortés,cortés
täglich,,diário,diario,cotiá
schwach,,débil,débil,débil
dünn,,delgado,delgado,delgado
zerstreut;ahnungslos,,despistado,despistado,despistado
verschieden,,diferente,diferente,diferete
rechts,,direito,derecha,direito
verfügbar,,disponível,disponible,dispoñible
unterschiedlich,,distinto,distinto,distinto
süß,,doce,dulce,doce
hart,,duro,duro,duro
gebildet,,educado,educado,educado
egoistisch,,egoísta,egoísta,egoísta
elegant,,elegante,elegante,elegante
energisch,,enérgico,enérgico,enérxico
krank,,doente,enfermo,enfermo; doene
riesig,,enorme,enorme,enorme
skeptisch,,cético,escéptico,escéptico
dunkel,,escuro,oscuro,escuro
aufgeweckt,,esperto,despierto,esperto
links,,esquerda,izquierda,esquerda
komisch,,estranho,extraño,estraño
dumm,,estúpido,estúpido,estúpido
erregt,,excitado,excitado,excitado
extrovertiert,,extrovertido,extravertido,extravertido
hässlich,,feio,feo,feo
letzte,,final,final,final
stark,,forte,fuerte,forte
dick,,gordo,gordo,gordo
gratis,,gratuito,grátis,gratuído
schlimm; gefährlich,,grave,grave,grave
grau,,cinzento,gris,gris
schrecklich,,horrível,horrible,horríbel
bescheiden,,humilde; modesto,humilde,humilde; modeso
idealistisch,,idealista,idealista,idealista
unmöglich,,impossível,imposible,imposible
unpünktlich,,impontual,impuntual,impuntual
hilflos,,indefeso,indefenso,indefenso
unabhängig,,independente,independiente,independente
industriell,,industrial,industrial,industrial
kindisch,,infantil,infantil,infantil
informal,,informal,informal,informal
ungelegen,,inoportuno,inoportuno,inoportuno
intelligent,,inteligente,inteligente,intelixente
intolerant,,intolerante,intolerante,intolerante
introvertiert,,introvertido,introvertido,introvertido
loyal,,leal,leal,leal
langsam,,lento,lento,lento
frei,,livre,libre,libre
sauber,,limpo,limpio,limpo
hübsch,,lindo,lindo,lindo
lang,,longo,largo,longo; largo
blond,,louro;loiro,rubio,louro;loiro
größer,,maior,mayor,maior
schlecht,,mau;má,malo/a,mao;má
Mittelalterlich,,medieval,medieval,medievo
besser,,melhor,mejor,mellor
kleiner,,menor,menor,menor
gleich,,mesmo,mismo,mesmo
modern,,moderno,moderno,moderno
tot,,morto,muerto,morto
notwendig,,necessário,necesario,necesario
schwarz,,preto,negro,negro
nervös,,nervoso,nervioso,nervioso
neu,,novo,nuevo,novo
nackt,,nu;desnudo,desnudo,nu
optimistisch,,otimista,optimista,optimista
organisiert,,organizado,organizado,organizado
anders,,outro,otro,outro
geduldig,,paciente,paciente,paciente
schlechter,,pior,peor,peor
klein,,pequeno,pequeño,pequeno
persöhnlich,,persoal,personal,persoal
schwer,,pesado,pesado,pesado
pessimistisch,,pessimista,pesimista,pesimista
flach,,plano,plano,plano
mächtig,,poderoso,poderoso,poderoso
beliebt,,popular,popular,popular
möglich,,possível,posible,posíbel
positiv,,positivo,positivo,positivo
faul,,preguiçoso,perezoso,preguiceiro
eingebildet;eitel,,presumido,presumido,presumido
haupt,,principal,principal,principal
wahrscheinlich,,provável,probable,probable; probábel
tief,,profundo,profundo,profundo
eigen,,próprio,propio,proprio
öffentlich,,público,público,público
pur,,puro,puro,puro
heiß,,quente,caliente,quente
schnell,,rápido,rápido,rápido
selten,,raro,raro,raro
verantwortlich,,responsável,responsable,responsable
rothaarig,,ruiva,pelirrojo,roxo
weise,,sabio,sabio,sabio
heilig,,sagrado,sagrado,sagrado
nächste,,seguiente,siguiente,seguiente
sicher,,seguro,seguro,seguro
besonnen,,sensato,sensato,sensato
sympathisch,,simpático,simpático,simpático
ehrlich,,sincero;honesto,sincero;honesto,sincero;honesto
schlicht(+),,singelo,sencillo,sinxelo
schmutzig,,sujo,sucio,sucio
genug,,suficiente,suficiente,suficiente
stur,,teimoso,terco,teimoso
schüchtern,,tímido,tímido,tímido
tolerant,,tolerante,tolerante,tolerante
verrückt,,louco,loco,tolo
fleißig,,trabalhador,trabajador,traballador
traditional,,tradicional,tradicional,tradicional
letzte,,último,último,último
nützlich,,útil,útil,útil
tapfer,,corajoso; valente,valiente,valente
alt,,velho,viejo,vello
rot,,vermelho,rojo,vermello
lebendig,,vivo,vivo,vivo
großzügig,,generoso,generoso,xeneroso
genial,,genial,genial,xenial
jung,,jovem,joven,xoven
groß (koerper),,alto,grande,
freundlich,,amigável,amable,
freundschaftlich,,amistoso,amistoso,
breit,,ancho,amplia,
richtig,,certo,cierto,
witzig,,engraçado,gracioso,
fabelhaft,,estupendo,estupendo,
naschhaft; gefräßig,,gouloso,goloso,
groß,,grande,gran,
grob; unhöflich,,grosseiro,grosero,
wichtig,,importante,importante,
charakterfest,,íntegra,íntegra,
gesellig,,sociável,sociable,
allein,,sozinho,solo,
überlegen,,superior,superior,
dümmlich,,tonto,tonto,
kostbar,,valioso,valioso,
schnell,,veloz,veloz,
klever; schlau; bereit,,,listo,listo
