öffnen,,abrir,a.c.,abrir,algo,abrir,
langweilen,,aborrecer;entediar,,aburrir,,aburrir,
beenden,,acabar,de,acabar,,acabar,
akzeptieren,,aceitar, ,aceptar,,aceptar,
finden,,achar,,hallar,,achar,
raten,,aconselhar,(Konjunktiv),aconsejar,algo a alguien,aconsellar,
bedanken,,agradecer,,agradecer,,agradecer,
sich freuen,,alegrar-se,(Konjunktiv),alegrarse,,alegrarse,
frühstücken,,tomar o pequeno-almoço,,desayunar,,almorzar,
mieten,,alugar,a.c.,aquilar,algo,alugar;aluguer,
lieben,,amar,,amar,,amar,
notieren,,anotar,,anotar,,anotar,
erscheinen,,aparecer,,aparecer,,aparecer,
unterstützen,,apoiar,,apoyar,a alguien/ algo,apoiar,
lernen,,aprender,,aprender,,aprender,
jemandem bei etwas helfen,,ajudar,alg. a a.c.,ayudar,a alguien en algo,axudar,
tanzen,,dançar,,bailar,,bailar,
rasieren,,barbear-se,,afeitar ,algo/a alguien,barbearse,
trinken,,beber,,beber,,beber,
ausfüllen,,encher,,echar,,botar,
suchen,,procourar,,buscar,algo/ a algien,buscar,
ändern,,mudar,,cambiar,,cambiar,
singen,,cantar,,cantar,,cantar,
abendessen,,jantar,,cenar,,cear,
heißen,,charmar-se,,llamarse,,chamarse,
kochen,,cozinhar,,cocinar,,cociñar,
kümmern,,cuidar ,d,cuidar ,de,coidar,algo;a algien
essen,,comer,,comer,,comer,
beginnen,,compezar,,empezar;comenzar,,comezar;empezar,
teilen,,partilhar,,compartir ,,compartir,
kaufen,,comprar,,comprar,,comprar;mercar,
kennen (co..),,conhecer,alg./ a.c.,conocer,algo / a algien,coñecer,
verwechseln,,confundir,,confundir,,confundir,
rennen,,correr,,correr,,correr,
glauben,,crer,em,creer,,crer,
kosten,,custar,,costar,,custar,
geben,,dar,,dar,,dar,
definieren,,definir,,definir,,definir,
sich hinlegen,,deitar-se,,acostarse,,deitarse,
etw lassen,,deixar,,dejar,,deixar,
sich verabschieden,,despedir,,despedir,a algien,despedir,
sagen,,dizer,(Konjunktiv),decir,,dicir,
schlafen,,dormir,,dormir,,durmir,
unterrichten,,ensinar,,enseñar,,ensinar,
verstehen,,entender,e->ie,entender,,entender,
eintreten,,entrar,,entrar,,entrar,
senden,,enviar,,enviar,,enviar,
aufstehen,,levantar-se,,levantarse,,erguerse;levantarse,
entkommen,,escapar,de,escapar,de,escapar,de
zuhören,,escutar,,escuchar,,escoitar,
schreiben,,escrever,,escribir,,escribir,
aufwachen,,acordar;despertar,,despertarse,,espertar,
sein (e),,estar,,estar,,estar,
studieren,,estudar,,estudiar,,estudar,
etw vermeiden,,evitar,(Konjunktiv),evitar,,evitar,
erklären,,explicar,a.c. a alguem,explicar,algo a alguien,explicar,
ausdrücken,,expressar,a.c.,expresar,,expresar,
machen,,fazer,,hacer,,facer,
reden,,falar,,hablar,,falar,
rauchen,,fumar,,fumar,,fumar,
fliehen,,fugir,de,fugarse,de algo/algien,fuxir,
identifizieren,,identificar,algo/a alguien,identificar,alg./a.c.,identificar,
gehen,,ir,,ir,,ir,
überwintern,,invernar,,,,invernar,
erinnern,,lembrar,,recordar,,lembrar,
lesen,,ler,,leer,,ler,
messen,,medir,,medir,,medir,
mischen,,misturar,,mezclar,,mesturar,
geboren werden,,nascer,,nacer,,nacer,
etw hassen,,odiar,,odiar,algo/a alguien,odiar,
spazieren,,passear,,pasear,,pasear,
schließen,,fechar,a.c.,cerrar,algo,pechar,
bitten,,pedir,(Konjunktiv),pedir,,pedir,(Konunktiv)
sich kämmen,,pentear-se,,peinarse,,peitearse,
schälen,,descascar; pilar,,pelar,,pelar,
verpassen,,perder,,perder,,perder,
(etwas) wiegen,,pesar,,pesar,,pesar,
bevorzugen,,preferir,(Konjunktiv),preferir,algo/ a alguien,preferir,
etwas/ jmd. präsentieren,,apresentar,,presentar,algo/a alguien,presentarse,
jmd. vorstellen,,apresentar-se,,presentarse,,presentarse,
wollen,,querer,(Konjunktiv),querer,,querer,
ausgehen,,sair,,salir,,saír,
grüßen,,saudar,,saludar,,saudar,
fühlen,,sentir,,sentir,,sentir,
sein (s),,ser,,ser,,ser,
haben,,ter,,tener,,ter,
nehmen,,tomar,,tomar,,tomar,
arbeiten,,trabalhar,,traballar,,traballar,
sehen,,ver,,ver,,ver,
reisen,,viajar,,viajar,,viaxar,en
leben,,viver,,vivir,,vivir,
zurückkommen,,voltar,,volver,,volver,
mittagessen,,almoçar,,almorzar,,xantar,
drehen,,girar;virar,,girar,,xirar,
spielen (Sport),,jogar,,jugar,,xogar,
verlassen,,abandonar,alg./a.c,abandonar,algo/ a alguien,,
beschützen; wärmen,,abrigar,alg./a.c,abrigar,algo/ a alguien,,
jmd etwas vorwerfen,,acusar,alg. de a.c.,acusar,a alguien de algo,,
hinzufügen,,adicionar,a.c. (a a.c.),añadir,algo a algo,,
zulassen,,admitir,(Konjunktiv),admitir,,,
handeln,,agir,,actuar,,,
jmd gefallen,,agradar,a,agradar ,a,,
glätten,,alisar,,alisar,,,
beruhigen,,amaziguar,,apaciguar,,,
Lust haben,,apetecer,,apetecer; tener ganas de algo,,,
wetten,,apostar,,apostar,,,
beraten,,assessorar,alg,asesorar,a alguien,,
unterschreiben,,assinar,,firmar,,,
vergrößern,,aumentar,,aumentar,,,
passen,,caber,,caber,,caber,
hinabsteigen,,cair,,bajar,,,
gehen,,caminhar,,caminar,,,
nachgeben,,ceder,,ceder,,,
riechen,,cheirar,,oler,algo/ a alguien,,
regnen,,chover,,llover,,,
etw zudecken; bedecken,,cobrir,,cubrir,,,
stellen,,colocar,,colocar,,,
beginnen; anfangen,,começar,a,empezar,,,
vergleichen,,comprarar,,comprarar,,,
bestätigen; kontrollieren,,comprovar,,comprobar,,,
vertrauen in ,,confiar,em,confiar,en algo/ alguien,,
einwilligen,,consentir,(Konjunktiv),consentir,,,
zählen,,contar,,contar,,,
zurückhalten,,conter,,cortarse,en algo,,
weitermachen,,continuar,com a.c. / a fazer a.c.,continuar,algo,,
beschuldigen,,culpar,,culpar,,,
befolgen; erfüllen,,cumprir,,cumplir,,,
etw beschließen,,decidir,,decidir,algo,,
deklarieren,,declarar,,declarar,,,
(ab)kosten,,degustar,,degustar,,,
vorführen; demonstrieren,,demonstrar,,demostrar,,,
abgängig sein,,depender,de,depender,de,,
sich erholen,,descansar,,descansar,,,
entdecken,,descobrir,,descubrir,,,
wünschen,,desejar,(Konjunktiv),desear,,,
aufgeben,,desistir,de,,,,
sollen,,dever,,deber,,,
bezweifeln,,duvidar,(Konjunktiv),dudar,de,,
wählen,,eleger,,elegir,,,
eliminieren,,eliminar,,eliminar,a algien,,
jmd berühren; ergreifen,,emocionar,,emocionar,a algien,,
verlieben,,enamorar-se,de,enamorarse,de,,
begeistern,,encantar,,encantar,,,
finden,,encontrar,,encontrar,,,
trügen; täuschen,,enganar,,enganar,,,
liefern,,entregar,,entregar,,,
verstecken,,esconder,,esconder,alo/ a algien,,
hoffen,,esperar,(Konjunktiv),esperar,,,
ausspionieren,,espiar,,espiar,a algien,,
vergessen,,esquecer,,olvidar,,esquecer,
kurz davor sein etwas zu tun,,estar a ponto de,,estar a punto de,,,
fordern,,exigir,(Konjunktiv),exigir,,,
ausstellen,,expor,,exponer,,,
bilden,,formar,,formar,,,
gewinnen,,ganhar,,ganar,,,
ausgeben,,gastar,,gastar,,,
mögen,,gostar,,gustar,,,
schreien,,gritar,,gritar,,,
zögern,,hesitar,,hesitar,,,
verhindern,,impedir,(Konjunktiv),impedir,,,
importieren,,importar,,importar,,,
jmd wichtig sein,,importar,,importar,a alguien,,
drucken,,imprimir,,imprimir,,,
einbeziehen,,includir,,incluir,alg/ a alguien,,
stören,,incomodar,,incomodar,a alguien,,
(nach)forschen,,indagar,,indagar,,,
auf etw bestehen,,insistir,em,insistir,en algo,,
interessieren,,interessar,,interessar,,,
erfinden,,inventar,,inventar,,,
bedauern,,lamentar,(Konjunktiv),lamentar,,,
etwas mitbringen; tragen,,levar,,llevar,alg/ a alguien,,
etw handhaben,,manejar,,manejar,,,
kauen,,mastigar,,mastigar,,mastigar,
zusehen,,mirar,,mirar,,,
zeigen,,mostrar,,mostrar,,,
bewegen,,mover,,mover,,,
umziehen,,mudar-se,,mudarse,,,
schwimmen,,nadar,,nadar,,,
segeln,,navegar,,navegar,,,
benötigen,,necessitar ,de,requerir,,,
beobachten,,observar,,observar,algo/ a alguien,,
etwas beanspruchen,,ocupar,,ocupar,algo/a alguien,,
jmd etw anbieten,,oferecer,,ofrecer,algo a alguien,,
anordnen,,ordenar,(Konjunktiv),,,,
hören,,ouvir,,oir,,,
zahlen,,pagar,,pagar,alg a alguien,,
pochen; klopfen,,palpitar,,palpitar,,,
scheinen,,parecer,,parecer,,,
teilnehmen,,participar em,,participar,en,,
vorbeigehen; verbringen,,passar,,pasar,,,
an jmd denken,,pensar,em,pensar,en,pensar,en
etw erlauben,,permitir,(Konjunktiv),permitir,algo,,
übernachten,,pernoitar,,pernoctar,,,
verfolgen; nachstellen,,perseguir,,perseguir,,,
jmd stören,,pertubar,,perturbar,,,
stechen,,picar,,picar,,,
treten,,pisar,,pisar,,,
sparen,,poupar,,ahorrar,,,
brauchen,,precisar,de,necesitar,,precisar;necesitar,
faulenzen,,preguiçar,,,,,
etw. vorausahnen,,pressentir,,presentir,,,
davon ausgehen,,presumir,a.c.,asumir,,,
untersagen; verhindern,,proibir,(Konjunktiv),prohibir,,,
vorschlagen,,propor,(Konjunktiv),proponer,,,
probieren,,provar/ experimentar,,probar,,,
beschweren,,queixar-se,(Konjunktiv),queijarse,,,
etwas bekommen; erhalten; empfangen,,receber,,recibir,algo de alguien,,
empfehlen,,recomendar,(Konjunktiv),recomendar,,,
sich erinnern,,recordar-se,,recordarse,,,
ablehnen,,recusar,,recusar,,,
reduzieren,,reduzir,,reducir,,,
in Rente gehen,,reformar-se ,,jubliarse,,,
abkühlen; auffrischen,,refrescar,,refrescar,,,
ausruhen,,repousar,,reposar,,,
widerstreben; abstoßen; abstreiten,,repugnar,,repugnar,,,
beschliessen,,resolver,(Konjunktiv),resolver,,,
respektieren,,respeitar,,respetar,,,
antworten,,responder,,responder,,,
etw zerbrechen,,romper,,romper,,,
kosten; genießen,,saborear,,saborear,,,
herausziehen; herausnehmen,,sacar,,sacar,,,
hüpfen; springen,,saltar,,saltar,,,
servieren; dienen,,servir,,servir,algo / a alguien,,
belagern,,sitiar,a.c.,sitiar,algo / a alguien,,
leiden,,sofrer,,sufrir,,,
von etwas träumen ,,sonhar,em a.c. / com alguém,soñar,com algo,,
hinaufgehen,,subir,,subir,,,
abonieren,,subscrever, ,abonar,,,
nahelegen,,sugerir,(Konjunktiv),sugerir,,,
aushalten,,suportar,,soportar,,,
aufkommen,,surgir,,surgir,,,
erhalten; tragen,,sustentar,,sustentar,,,
fürchten,,temer,,temer,,,
Lust haben auf,,ter vontade,de,tener ganas,de,,
